IMPORTANT DETAIL,,,,,,,,,
"In order to insert an Idea that uses a PivotTable or formula, your data was organized in columns with a single header row.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Field1,Prototype,Task A,Task B,Task B2,ID,Field7,Field8,Field9
,4/15/21 12:36,Prototype B (Circles),7.5,136,8,"Fun, Fine, Confusing",4,5,6
,4/15/21 12:38,Prototype A (Boxes),8.5,125.5,8.5,"Boring, Fine, Excellent",6,6,3
,4/15/21 14:08,Prototype B (Circles),13,91,16,"Boring, Fine, Confusing",6,6,2
,4/15/21 14:09,Prototype A (Boxes),5,70,9,"Boring, Fine",6,6,2
,4/15/21 14:27,Prototype A (Boxes),11,120,15,Fine,3,3,2
,4/15/21 14:27,Prototype A (Boxes),10,140,15,"Fun, Frustrating, Fine",5,4,4
,4/15/21 14:29,Prototype B (Circles),5,66,6,Fine,2,2,4
,4/15/21 14:30,Prototype B (Circles),22,189.12,11.07,"Fine, Confusing",4,4,3
,4/15/21 14:31,Prototype A (Boxes),6.16,68.22,29.71,"Boring, Frustrating, Confusing",3,3,2
,4/15/21 14:31,Prototype B (Circles),19,104,215,"Boring, Frustrating, Confusing",2,1,3
,4/15/21 14:31,Prototype A (Boxes),3.78,15.2,7.07,Confusing,4,4,4
,4/15/21 14:32,Prototype A (Boxes),10,15,12,Confusing,6,5,4
,4/15/21 14:32,Prototype B (Circles),20,220,38,"Fine, Confusing",3,2,4
,4/15/21 14:32,Prototype B (Circles),6,194,5,"Boring, Fine, Confusing",3,5,4
,4/15/21 14:32,Prototype B (Circles),10,28,75,"Boring, Fine, Confusing",6,5,5
,4/15/21 14:33,Prototype A (Boxes),6,600,15,"Frustrating, Fine",6,6,4
,4/15/21 14:33,Prototype A (Boxes),5.41,126.95,10.45,"Frustrating, Confusing",2,3,1
,4/15/21 14:33,Prototype A (Boxes),3,128,12,"Fine, Confusing",4,4,2
,4/15/21 14:33,Prototype A (Boxes),7,140,8,"Boring, Fine",5,5,3
